temperature,humidity,co2,yield
24.5,85,650,1.8
25.1,84,670,1.9
23.8,88,640,1.7
26.0,,690,2.0
24.9,86,,1.8
25.4,85,675,
24.7,87,660,1.9
23.9,89,645,1.7
25.8,84,680,2.1
24.3,86,655,1.8
24.6,85,652,1.8
25.2,84,671,1.9
23.7,88,639,1.7
26.1,86,691,2.0
24.8,86,661,1.8
25.5,85,676,1.8
24.8,87,662,1.9
24.0,89,646,1.7
25.9,84,681,2.1
24.4,86,656,1.8
24.5,85,653,1.8
25.3,84,672,1.9
23.6,88,638,1.7
26.2,86,692,2.0
24.7,86,662,1.8
25.6,85,677,1.8
24.9,87,663,1.9
24.1,89,647,1.7
26.0,84,682,2.1
24.5,86,657,1.8
24.4,85,651,1.8
25.0,84,669,1.9
23.9,88,641,1.7
26.1,86,689,2.0
24.8,86,658,1.8
25.3,85,674,1.8
24.6,87,659,1.9
24.0,89,644,1.7
25.7,84,679,2.1
24.2,86,654,1.8
24.7,85,650,1.8
25.4,84,670,1.9
23.8,88,640,1.7
26.0,86,690,2.0
24.9,86,660,1.8
25.5,85,675,1.8
24.8,87,661,1.9
24.1,89,645,1.7
25.8,84,680,2.1
24.3,86,655,1.8
24.6,85,652,1.8
25.2,84,671,1.9
23.7,88,639,1.7
26.1,86,691,2.0
24.8,86,661,1.8
25.5,85,676,1.8
24.8,87,662,1.9
24.0,89,646,1.7
25.9,84,681,2.1
24.4,86,656,1.8
