temperature,humidity,co2,yield
24.5,85.0,650.0,1.8
25.1,84.0,670.0,1.9
23.8,88.0,640.0,1.7
26.0,86.0,690.0,2.0
24.9,86.0,661.0,1.8
25.4,85.0,675.0,1.8
24.7,87.0,660.0,1.9
23.9,89.0,645.0,1.7
25.8,84.0,680.0,2.1
24.3,86.0,655.0,1.8
24.6,85.0,652.0,1.8
25.2,84.0,671.0,1.9
23.7,88.0,639.0,1.7
26.1,86.0,691.0,2.0
24.8,86.0,661.0,1.8
25.5,85.0,676.0,1.8
24.8,87.0,662.0,1.9
24.0,89.0,646.0,1.7
25.9,84.0,681.0,2.1
24.4,86.0,656.0,1.8
24.5,85.0,653.0,1.8
25.3,84.0,672.0,1.9
23.6,88.0,638.0,1.7
26.2,86.0,692.0,2.0
24.7,86.0,662.0,1.8
25.6,85.0,677.0,1.8
24.9,87.0,663.0,1.9
24.1,89.0,647.0,1.7
26.0,84.0,682.0,2.1
24.5,86.0,657.0,1.8
24.4,85.0,651.0,1.8
25.0,84.0,669.0,1.9
23.9,88.0,641.0,1.7
26.1,86.0,689.0,2.0
24.8,86.0,658.0,1.8
25.3,85.0,674.0,1.8
24.6,87.0,659.0,1.9
24.0,89.0,644.0,1.7
25.7,84.0,679.0,2.1
24.2,86.0,654.0,1.8
24.7,85.0,650.0,1.8
25.4,84.0,670.0,1.9
24.9,86.0,660.0,1.8
25.5,85.0,675.0,1.8
24.8,87.0,661.0,1.9
24.1,89.0,645.0,1.7
